"保存フラグ","商品・役務名","類似群コード"
"03","液状せっけん","04A01"
"03","家具・置物・壁・床等のクリーナー","04A01"
"03","角質除去用せっけん","04A01"
"03","自動車に付着した虫除去用クリーナー","04A01"
"03","自動車に付着するタール・ピッチの除去用洗浄剤","04A01"
"03","自動車のエンジンルーム用洗浄剤","04A01"
"03","自動車の塗装表面用洗浄剤","04A01"
"03","自動車内装用洗浄剤","04A01"
"03","自動車用のつや出し効果を有する洗浄剤","04A01"
"03","蛇口・洗面器・湯船等の浴室用クリーナー","04A01"
"03","手指用清浄剤","04A01"
"03","手指用洗浄剤","04A01"
"03","身体清拭用清浄剤","04A01"
"03","身体用清浄剤","04A01"
"03","石鹸","04A01"
"03","洗浄剤（製造工程用のもの及び医療用のものを除く。）","04A01"
"03","洗浄剤（製造工程用及び医療用のものを除く）","04A01"
"03","掃除用洗剤","04A01"
"03","足用スクラブせっけん","04A01"
"03","頭皮の手入れ用せっけん","04A01"
"03","肌の汚れ落とし用清浄剤","04A01"
"03","肌の汚れ落とし用洗浄剤","04A01"
"03","肌用清浄剤","04A01"
"03","肌用洗浄剤","04A01"
"03","皮膚用清浄剤","04A01"
"03","皮膚用洗浄剤","04A01"
"03","粉末状のせっけん類","04A01"
"03","壁紙用・床材用及びカーテン用のクリーナー","04A01"
"03","芳香洗浄剤","04A01"
"03","毛髪用清浄剤","04A01"
"03","毛髪用洗浄剤","04A01"
"03","せっけん類及び歯磨き","04A01,04B01"
"03","ジェル状の歯磨き","04B01"
"03","汚れ落とし効果のある歯磨き","04B01"
"03","歯みがき","04B01"
"03","粉末状の歯磨き","04B01"
"03","クリーム","04C01"
"03","クリームおしろいその他のおしろい","04C01"
"03","クリーム状化粧品","04C01"
"03","クレンジングクリームその他のクリーム","04C01"
"03","クレンジングジェル","04C01"
"03","クレンジングローション","04C01"
"03","コンディショナーリンス","04C01"
"03","ジェル状のスキンモイスチャライジング用化粧品","04C01"
"03","ジェル状の化粧品","04C01"
"03","シャワー用のジェル状化粧品","04C01"
"03","スキンケア化粧品（化粧品）","04C01"
"03","スキンケア用乳液","04C01"
"03","スキンモイスチャライジングクリーム・ローション","04C01"
"03","バスローション","04C01"
"03","ひげそり用ローション及びジェル","04C01"
"03","フェイシャルパック","04C01"
"03","ふき取り繊維及びティッシュに含ませた化粧品","04C01"
"03","ヘアーカラートリートメント","04C01"
"03","ヘアーリンスその他の頭髪用化粧品","04C01"
"03","ベビーオイル","04C01"
"03","ボティーケア用化粧品","04C01"
"03","まつげ用化粧品","04C01"
"03","マッサージ用化粧品","04C01"
"03","ワイプにしみこませた顔用化粧品","04C01"
"03","医療用でない化粧品","04C01"
"03","一般化粧水その他の化粧水","04C01"
"03","液状又は粉状のファンデーション","04C01"
"03","化粧剤及び化粧品","04C01"
"03","化粧水（医療用のものを除く。）","04C01"
"03","化粧品（医療用のものを除く。）","04C01"
"03","角質除去用クリーム","04C01"
"03","角質除去用ジェル","04C01"
"03","顔・手・毛髪及び身体用ローション","04C01"
"03","口紅その他の紅","04C01"
"03","身体の局部の手入れ用化粧品（医療用のものを除く。）","04C01"
"03","整髪用化粧品","04C01"
"03","全てのスキンケアを一つでカバーできる基礎化粧品","04C01"
"03","脱毛ワックス","04C01"
"03","頭皮・爪・毛髪及び皮膚使用を含む化粧品","04C01"
"03","頭皮・頭髪用化粧品","04C01"
"03","頭皮の手入れ用化粧品","04C01"
"03","日焼け止め化粧品","04C01"
"03","入浴剤（医療用のものを除く）","04C01"
"03","入浴用化粧品","04C01"
"03","肌の引き締め用化粧品","04C01"
"03","肌の状態を整える化粧品","04C01"
"03","肌用クレンジングクリーム（化粧品）","04C01"
"03","美白用化粧品","04C01"
"03","防汗用化粧品","04C01"
"03","香料・薫料及び香水類","04C01,04D01,04D02"
"03","エッセンシャルオイルその他の香料","04D01"
"03","粉末状の香料","04D01"
"03","愛玩動物用芳香剤","04D02"
"03","粉末状の薫料","04D02"
"03","つや出し用の研磨布","13B03"
"03","つや出し用研磨布","13B03"
"03","擦り磨き剤及び研磨剤","13B03"
"03","自動車の窓ガラスに付着したしみ除去用研磨剤","13B03"
"03","自動車用研磨剤","13B03"
"03","エクステンション用人工まつ毛","21F01"
"03","つけ爪装飾用シール","21F01"
"03","オーデコロン及び化粧水","04C01"
"03","キットになった化粧品","04C01"
"03","スキンケア用クリーム","04C01"
"03","スキンケア用ローション","04C01"
"03","スプレー式室内用消臭芳香剤","04D02"
"03","つけづめ用接着剤","01A02"
"03","つけまつげ","21F01"
"03","つけまつげ用接着剤","01A02"
"03","ハンドウォッシュ","04A01"
"03","ファウンデーション","04C01"
"03","ヘアジェル","04C01"
"03","ヘア用ミルクローション","04C01"
"03","ボディウォッシュ","04A01"
"03","マスカラ落し","04C01"
"03","メイク落し用化粧品","04C01"
"03","愛玩動物用リンス","04C01"
"03","育毛効果を有するシャンプー","04A01"
"03","化粧品・せっけん類及び歯磨き","04A01,04B01,04C01"
"03","化粧落とし","04C01"
"03","家庭用香料及び薫料","04D01,04D02"
"03","家庭用石灰質除去剤及び湯あか除去剤","01A01"
"03","家庭用電気式芳香発生器に入れて使用する室内用消臭芳香剤","04D02"
"03","口腔清涼剤（薬剤に属するものを除く。）","04B01"
"03","抗菌効果・消臭効果を有する芳香剤","04D02"
"03","紫外線防止効果のあるジェル状の化粧品","04C01"
"03","紫外線防止効果のあるミルク状の化粧品","04C01"
"03","身体の衛生用の化粧品","04C01"
"03","身体用抗菌消臭剤","04C01"
"03","人工軽石","13B03"
"03","水液状化粧品","04C01"
"03","石けん","04A01"
"03","足裏用パック用化粧品","04C01"
"03","爪用オイル","04C01"
"03","貼付タイプの肌の美白用化粧品","04C01"
"03","風呂用及びトイレ用の液体状洗浄剤","04A01"
"03","風呂用及びトイレ用の洗浄剤","04A01"
"03","風呂用及びトイレ用の粉末状洗浄剤","04A01"
"03","毛髪用ウェーブ剤","04C01"
"04","潤滑剤","01A01"
"04","バイオガス（燃料）","05A02"
"04","バイオメタンガス（燃料）","05A02"
"04","ろうそくの芯","19B26"
"05","空気清浄剤","01A01,01B01"
"05","アトピー性皮膚炎に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","アルツハイマー病に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","クローン病に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","シェーグレン症候群に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","スプレー式の織物用芳香消臭剤","01B01"
"05","ティッシュに含ませた液状の薬剤","01B01"
"05","ティッシュに含ませた薬剤","01B01"
"05","ティッシュペーパーに浸み込ませた消毒剤","01B01"
"05","パーキンソン病に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","ハーブ茶（「漢方薬」に限る。）","01B01"
"05","異常脂質血症に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","医薬用及び獣医科用の鉄剤","01B01"
"05","医療用ミネラル剤","01B01"
"05","医療用栄養添加剤","01B01"
"05","医療用栄養補助剤として用いる鉄剤","01B01"
"05","医療用衛生用剤","01B01"
"05","医療用化学剤","01B01"
"05","医療用化粧水","01B01"
"05","医療用化粧品","01B01"
"05","医療用還元茶","01B01"
"05","医療用酵母","01B01"
"05","医療用朝鮮人参カプセル製剤","01B01"
"05","医療用又は医薬用ハーブ","01B01"
"05","医療用薬剤及び医薬製剤","01B01"
"05","炎症・炎症性疾患に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","炎症性腸疾患に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","外傷治療用薬剤","01B01"
"05","乾癬性関節炎に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","肝臓疾患治療用薬剤","01B01"
"05","関節リウマチに用いられる診断用・治療用又は予防用薬剤","01B01"
"05","眼疾患治療用薬剤","01B01"
"05","群発頭痛に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","血管疾患の治療用薬剤","01B01"
"05","血糖降下薬","01B01"
"05","抗菌剤（工業用のもの及び洗濯用のものを除く。）","01B01"
"05","抗菌剤（洗濯用及び工業用のものを除く。）","01B01"
"05","抗糖尿病薬剤","01B01"
"05","膏薬","01B01"
"05","自己免疫疾患及び自己免疫障害の治療用及び予防用の薬剤","01B01"
"05","室内装飾品用防臭剤","01B01"
"05","室内用防臭剤","01B01"
"05","疾患及び病気の予防用及び治療用の薬剤及び医薬用化学剤（中枢神経系によって生じる又は中枢神経系に作用するもの）","01B01"
"05","臭気中和剤（身体用及び工業用のものを除く。）","01B01"
"05","除菌剤（工業用のもの及び洗濯用のものを除く。）","01B01"
"05","除菌剤（洗濯用及び工業用のものを除く。）","01B01"
"05","消臭剤（工業用，身体用及び動物用消臭剤並びに口臭用消臭剤を除く。）","01B01"
"05","織物用消臭剤","01B01"
"05","食餌療法用の食品調製剤","01B01"
"05","神経系疾患に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","神経変性疾患に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","診断用及び医療用の試薬","01B01"
"05","腎臓疾患治療用薬剤","01B01"
"05","睡眠障害に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","精神病・精神疾患に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","脊椎関節症に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","線維症の治療用薬剤","01B01"
"05","全身性エリテマトーデスに用いられる診断用・治療用又は予防用薬剤","01B01"
"05","多発性硬化症に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","中枢神経系に作用する薬剤及び医薬用化学剤","01B01"
"05","中枢神経系刺激剤","01B01"
"05","中枢神経系疾患に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","潰瘍性大腸炎に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","頭皮・爪・毛髪及び皮膚使用目的の医療用薬剤","01B01"
"05","動物用エストロゲン剤","01B01"
"05","動物用テストステロン剤","01B01"
"05","動物用プロゲステロン剤","01B01"
"05","動物用ホルモン剤","01B01"
"05","動物用洗浄剤（薬剤に属するものに限る。）","01B01"
"05","内分泌疾患に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","肺疾患治療用薬剤","01B01"
"05","病気及び疾病の治療用細胞製剤","01B01"
"05","変形性関節症治療薬","01B01"
"05","芳香消臭剤（工業用・身体用及び動物用消臭剤並びに口臭用消臭剤を除く。）","01B01"
"05","免疫介在性の炎症性疾患の治療用薬剤","01B01"
"05","免疫系疾患及び免疫系障害の治療用薬剤","01B01"
"05","毛髪用剤及び医療用ローション剤","01B01"
"05","薬剤（農薬に当たるものを除く）","01B01"
"05","薬用育毛剤","01B01"
"05","家庭用又は衛生用の消毒剤","01B01,01B02"
"05","忌避剤","01B01,01B02"
"05","消毒液","01B01,01B02"
"05","防腐剤","01B01,01B02"
"05","医療用当て布及び外傷治療用薬剤","01B01,01C01"
"05","手当て用膏薬・ばんそうこう・包帯・医療用粘着テープ","01B01,01C01"
"05","栄養補助用飼料添加物","01B01,33B01"
"05","おりもの専用シート","01C01"
"05","圧迫ガーゼ","01C01"
"05","痔ろう疾患用パッド","01C01"
"05","消毒薬を浸み込ませた綿","01C01"
"05","使い捨て（紙製）乳幼児用おしめ（パンツ式のものを含む）","17A10"
"05","使い捨て（紙製）乳幼児用トレーニングパンツ","17A10"
"05","使い捨て紙おむつ","17A10"
"05","失禁用パンツ","17A10"
"05","失禁用吸収性ショーツ及びトランクスその他の失禁用吸収性下着","17A10"
"05","大人用紙オムツ（パンツ式のものを含む）","17A10"
"05","幼児用紙おむつ","17A10"
"05","乳酸菌を含む乳幼児用粉乳","31D01"
"05","アミノ酸・ビタミン・ミネラル等を主原料とする液状・ゼリー状・ペースト状・粉状・顆粒状・錠剤状又はカプセル状の加工食品","32F15"
"05","カプセル状のサプリメント","32F15"
"05","ゼリー状のサプリメント","32F15"
"05","ビタミンを強化した液状のサプリメント","32F15"
"05","プラセンタを含有するサプリメント","32F15"
"05","ミネラルを含む栄養補助食品","32F15"
"05","栄養を強化した液状のサプリメント","32F15"
"05","果物を主原料とするサプリメント","32F15"
"05","紅参エキスを主成分とするソフトカプセル状のサプリメント","32F15"
"05","穀物を主原料とするサプリメント","32F15"
"05","植物・植物エキス又は植物発酵エキスを主原料とする粉末状・粒状・顆粒状・液状・ペースト状・クリーム状・タブレット状・カプセル状・カプレット状・ソフトカプセル状・錠剤状・棒状・板状・ブロック状・丸薬状・固形状・ゲル状・ゼリー状・グミ状・ウエハース状・ビスケット状・飴状・チュアブル状・シロップ状・スティック状の加工食品","32F15"
"05","植物の発酵エキス・黒糖・オリゴ糖を主原料とする液状・粉末状・顆粒状・ペースト状・カプセル状・ゼリー状・錠剤状の加工食品","32F15"
"05","食物油脂を主原料とするサプリメント","32F15"
"05","人用栄養補助食品","32F15"
"05","青汁を主原料とする粉末状・粒状・顆粒状・液状・ペースト状・クリーム状・タブレット状・カプセル状・カプレット状・ソフトカプセル状・錠剤状・棒状・板状・ブロック状・丸薬状・固形状・ゲル状・ゼリー状・グミ状・ウエハース状・ビスケット状・飴状・チュアブル状・シロップ状・スティック状の加工食品","32F15"
"05","青汁を主成分とするサプリメント","32F15"
"05","体重管理用のサプリメント","32F15"
"05","朝鮮人参又は紅参を主原料とするサプリメント","32F15"
"05","鉄分からなるサプリメント","32F15"
"05","動物エキスを主原料とする粉末状・粒状・顆粒状・液状・ペースト状・クリーム状・タブレット状・カプセル状・カプレット状・ソフトカプセル状・錠剤状・棒状・板状・ブロック状・丸薬状・固形状・ゲル状・ゼリー状・グミ状・ウエハース状・ビスケット状・飴状・チュアブル状・シロップ状・スティック状の加工食品","32F15"
"05","乳酸菌を含むサプリメント","32F15"
"05","野菜を主成分とするソフトカプセル状のサプリメント","32F15"
"05","緑黄色野菜又は草類若しくは木の葉等の可食性植物を主原料として錠剤状・粒状・顆粒状等に固形化又は粉末化若しくはペースト状・液状等の流動体化した加工食品","32F15"
"05","緑黄色野菜又は草類若しくは木の葉等の可食性植物を主原料として水又は湯に溶かして飲用する粉粒状加工食品","32F15"
"05","医療を目的とする食餌療法用飲料・食品","32F16"
"05","食事療法用飲料","32F16"
"05","食事療法用食品","32F16"
"05","青汁を含有する食餌療法用飲料","32F16"
"05","分岐鎖アミノ酸を主原料とする食餌療法用食品・飲料","32F16"
"05","乳酸菌を含む乳幼児用飲料","32F17"
"05","乳酸菌を含む乳幼児用食品","32F17"
"05","乳児用飲料","32F17"
"05","栄養補助用飼料添加物（薬剤に属するものを除く）","33B01"
"05","動物用サプリメント（薬剤に属するものを除く）","33B01"
"05","動物用の栄養補助用飼料添加物（薬剤に属するものを除く。）","33B01"
"05","ゼリー状の乳幼児用飲料","32F17"
"05","プロテインを含有するサプリメント","32F15"
"05","プロテインを含有する食餌療法用飲料","32F16"
"05","プロテインを含有する食餌療法用食品","32F16"
"05","医療用せっけん類","01B01"
"05","医療用の診断用試薬キット","01B01"
"05","医療用口腔用剤","01B01"
"05","医療用口内清浄剤","01B01"
"05","医療用剤及び獣医科用剤","01B01"
"05","医療用飼料添加剤","01B01"
"05","衛生用マスク","01C01"
"05","液状の薬剤（農薬に当たるものを除く。）","01B01"
"05","液体状オブラート","01C01"
"05","吸入器に入れられた呼吸器疾患及び呼吸状態治療用薬剤","01B01"
"05","検査・診断用薬剤","01B01"
"05","固形状・錠剤状・カプセル状・顆粒状・粉末状・液体状・ペースト状・ゼリー状・グミ状のサプリメント","32F15"
"05","酵素を含有するサプリメント","32F15"
"05","歯の美白用歯科用剤","01B01"
"05","歯科衛生のための医療用チューインガム及びトローチ","01B01"
"05","除菌剤（工業用及び洗濯用のものを除く）","01B01"
"05","食餌療法用薬剤","01B01"
"05","腎疾患に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","精神科及び神経科の疾患及び疾病の予防用及び治療用の薬剤及び医薬用化学剤","01B01"
"05","青汁を含有するアミノ酸剤","01B01"
"05","青汁を含有するカルシウム剤","01B01"
"05","青汁を含有するサプリメント","32F15"
"05","青汁を含有するビタミン剤","01B01"
"05","青汁を含有する育毛剤","01B01"
"05","青汁を含有する栄養補給剤","01B01"
"05","青汁を含有する栄養補給用ドリンク剤","01B01"
"05","青汁を含有する栄養補強剤","01B01"
"05","青汁を含有する栄養補助食品","32F15"
"05","青汁を含有する栄養補助用飼料添加物（薬剤に属するものを除く。）","33B01"
"05","青汁を含有する食餌療法用食品","32F16"
"05","青汁を含有する生薬","01B01"
"05","青汁を含有する乳幼児用飲料","32F17"
"05","青汁を含有する乳幼児用食品","32F17"
"05","青汁を含有する乳幼児用粉乳","31D01"
"05","青汁を含有する薬剤","01B01,01B02"
"05","脱臭剤（工業用のものを除く。）","01B01"
"05","低血糖に用いられる診断用・治療用又は予防用薬剤","01B01"
"05","動物用ワクチン","01B01"
"05","乳酸菌を含む栄養補助用飼料添加物（薬剤に属するものを除く。）","33B01"
"05","乳酸菌を含む食餌療法用食品","32F16"
"05","乳酸菌を含む薬剤","01B01,01B02"
"05","乳酸菌を含有するサプリメント","32F15"
"05","乳酸菌を含有する食餌療法用飲料","32F16"
"05","乳酸菌を含有する食餌療法用食品","32F16"
"05","乳幼児用粉ミルク","31D01"
"05","漂白用歯科用剤","01B01"
"05","芳香消臭剤（身体用・動物用及び工業用の芳香消臭剤並びに口臭用消臭剤を除く。）","01B01"
"05","防臭剤（工業用・身体用及び動物用のものを除く。）","01B01"
"05","防臭剤（身体用・動物用及び工業用のものを除く。）","01B01"
"05","薬剤及び獣医科用剤","01B01,01B02"
"05","燻煙剤","01B01,01B02"
"06","トタン板","06A01"
"06","形鋼","06A01"
"06","合成樹脂が積層された射出成形用鋼板","06A01"
"06","金属製配管パイプ（建築用又は構築用の金属製専用材料に属するものを除く。）","06A01,06A02"
"06","未加工又は半加工の金属（貴金属を除く。）","06A01,06A02"
"06","マンホール用鉄蓋並びにその部品及び附属品","07A01"
"06","屋根用雪止金具","07A01"
"06","金属製テラス用部材","07A01"
"06","金属製ドア","07A01"
"06","金属製の室内用ドア","07A01"
"06","金属製の水道管及びガス管","07A01"
"06","金属製パネル","07A01"
"06","金属製間仕切り材","07A01"
"06","金属製床束","07A01"
"06","金属製太陽電池積載用組立式架台","07A01"
"06","金属製門扉・フェンス・門柱","07A01"
"06","鋼製の水道管及びガス管","07A01"
"06","金属製建造物組立セット","07A04"
"06","金属製組立式カーポート","07A04"
"06","金属製バルブ（機械要素に当たるものを除く）","09F05"
"06","金属製逆止弁","09F05"
"06","金属製吸気弁","09F05"
"06","金属製仕切弁","09F05"
"06","金属製キャスター","13C01"
"06","金属製金具（「安全錠・鍵・鍵用金属製リング・南京錠」を除く。）","13C01"
"06","ワイヤーロープ","18A02"
"06","犬用鎖","19B33"
"06","金属製の引戸及びその部品","20A01"
"06","屋外用金属製ブラインド","20D01"
"06","管のねじ山を保護するための栓状又はふた状の金属製保護金具","13C01"
"06","金属製の小物入れ","19B99"
"06","金属製はり","07A01"
"06","金属製外壁材","07A01"
"06","金属製間仕切材","07A01"
"06","金属製棚板","07A01"
"06","金属製天井装飾品","07A01"
"06","鋼製荷役用パレット","09A03"
"06","鋼製又は金属製の水道管及びガス管","07A01"
"06","窓用金属製取っ手","07A01"
"06","着色亜鉛鉄板","06A01"
"06","油井用鋼管","06A01"
"07","金属加工機械器具並びにその部品及び附属品","09A01"
"07","金属加工用のロボット及びロボットアーム","09A01"
"07","電気溶接装置","09A01"
"07","洗浄機","09A01,09A02,09A05,09A06,09A07,09A08,09A68,09E27,09E28,09E29,11A06"
"07","工業用ロボットのグリッパー・捕捉器具・エンドエフェクタ（工業用ロボットの部品）","09A01,09A03,09A64,09A65,09A68,09A99,09E29"
"07","工業用ロボット並びにその部品及び附属品","09A01,09A03,09A64,09A65,09A68,09A99,09E29"
"07","産業用ロボット","09A01,09A03,09A64,09A65,09A68,09A99,09E29"
"07","産業用ロボットアーム並びにその部品及び附属品","09A01,09A03,09A64,09A65,09A68,09A99,09E29"
"07","産業用ロボット並びにその部品及び附属品","09A01,09A03,09A64,09A65,09A68,09A99,09E29"
"07","金属加工用・塗装用ロボット","09A01,09A64"
"07","金属・繊維・ガラス・プラスチック・セラミック又は紙等からなるフィルム又はシートの製造・加工機械器具及びその部品及び付属品","09A01,09A64,09A67,09A99"
"07","選別機","09A02,09A03,09A06,09A41,09G63"
"07","移動式の搬送用荷役機械器具","09A03"
"07","荷役機械器具並びにその部品及び付属品","09A03"
"07","荷役機械器具並びにその部品及び附属品","09A03"
"07","荷役用のロボット及びロボットアーム","09A03"
"07","荷役用ロボット","09A03"
"07","土木機械器具並びにその部品及び付属品","09A03"
"07","土木機械器具並びにその部品及び附属品","09A03"
"07","漁業機械器具","09A05"
"07","化学加工機械器具としてのロボット及びロボットアーム","09A06"
"07","化学機械器具並びにその部品及び付属品","09A06"
"07","化学機械器具並びにその部品及び附属品","09A06"
"07","水素製造装置","09A06"
"07","分離機","09A06,09A08"
"07","ろ過機用フィルター","09A06,09A08,09A43"
"07","膜ろ過装置","09A06,09A08,09A43"
"07","繊維機械器具としてのロボット及びロボットアーム","09A07"
"07","繊維機械器具並びにその部品及び附属品","09A07"
"07","飲料用水素水製造機","09A08"
"07","食品加工用又は飲料加工用の機械器具","09A08"
"07","食料加工用又は飲料加工用のロボット並びにその部品及び附属品","09A08"
"07","食料加工用又は飲料加工用の機械器具並びにそれらの部品及び附属品","09A08"
"07","半導体製造用・精密機械用・自動車部品製造用・食品製造機械用液体充填装置並びにそれらの部品及び附属品","09A08,09A68,09A99"
"07","半導体製造用・精密機械用・自動車部品製造用・食品製造機械用液体吐出装置並びにそれらの部品及び附属品","09A08,09A68,09A99"
"07","半導体製造用・精密機械用・自動車部品製造用・食品製造機械用液体塗布装置並びにそれらの部品及び附属品","09A08,09A68,09A99"
"07","半導体製造用・精密機械用・自動車部品製造用・食品製造機械用流体充填装置並びにそれらの部品及び附属品","09A08,09A68,09A99"
"07","半導体製造用・精密機械用・自動車部品製造用・食品製造機械用流体吐出装置並びにそれらの部品及び附属品","09A08,09A68,09A99"
"07","半導体製造用・精密機械用・自動車部品製造用・食品製造機械用流体塗布装置並びにそれらの部品及び附属品","09A08,09A68,09A99"
"07","製材用・木工用又は合板製造用のロボット及びロボットアーム","09A09"
"07","木材加工用ロボット並びにその部品及び附属品","09A09"
"07","パルプ製造用・製紙用又は紙工用のロボット及びロボットアーム","09A10"
"07","紙工用ロボット並びにその部品及び附属品","09A10"
"07","印刷用又は製本用のロボット及びロボットアーム","09A11"
"07","裁縫用のロボット及びロボットアーム","09A13"
"07","縫製ロボット並びにその部品及び附属品","09A13"
"07","栽培機械器具並びにその部品及び付属品","09A41"
"07","農業用ロボット","09A41,09A43,09A45,09A47"
"07","農業用機械器具並びにその部品及び付属品","09A41,09A43,09A45,09A47"
"07","農業用機械器具並びにその部品及び附属品","09A41,09A43,09A45,09A47"
"07","搾乳用ロボット並びにその部品及び附属品","09A43"
"07","靴製造用のロボット及びロボットアーム","09A61"
"07","靴製造用ロボット並びにその部品及び附属品","09A61"
"07","製革用のロボット及びロボットアーム","09A61"
"07","たばこ製造用のロボット及びロボットアーム","09A62"
"07","たばこ製造用ロボット並びにその部品及び附属品","09A62"
"07","ガラス器製造用のロボット及びロボットアーム","09A63"
"07","塗装機械器具及びその付属品","09A64"
"07","塗装機械器具並びにその部品及び附属品","09A64"
"07","梱包用・包装用のロボット及びロボットアーム","09A65"
"07","プラスチック加工機械器具並びにその部品及び附属品","09A67"
"07","プラスチック加工用ロボット並びにその部品及び附属品","09A67"
"07","プラスチック成形機用取出装置用コントローラ","09A67"
"07","射出成形機用自動取出ロボット","09A67"
"07","射出成形機用自動取出装置","09A67"
"07","電子部品製造用のロボット及びロボットアーム","09A68"
